사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2024-01,1호선,0150,서울역,"1,592,934","1,515,709",2024-02-03 10:48:39
2024-01,1호선,0151,시청,"754,689","756,316",2024-02-03 10:48:39
2024-01,1호선,0152,종각,"1,161,603","1,125,960",2024-02-03 10:48:39
2024-01,1호선,0153,종로3가,"768,822","713,859",2024-02-03 10:48:39
2024-01,1호선,0154,종로5가,"707,714","691,405",2024-02-03 10:48:39
2024-01,1호선,0155,동대문,"336,171","325,817",2024-02-03 10:48:39
2024-01,1호선,0156,신설동,"399,186","388,215",2024-02-03 10:48:39
2024-01,1호선,0157,제기동,"514,231","524,981",2024-02-03 10:48:39
2024-01,1호선,0158,청량리(서울시립대입구),"657,449","648,883",2024-02-03 10:48:39
2024-01,1호선,0159,동묘앞,"286,127","293,855",2024-02-03 10:48:39
2024-01,2호선,0201,시청,"750,098","711,143",2024-02-03 10:48:39
2024-01,2호선,0202,을지로입구,"1,389,692","1,424,734",2024-02-03 10:48:39
2024-01,2호선,0203,을지로3가,"722,085","715,104",2024-02-03 10:48:39
2024-01,2호선,0204,을지로4가,"389,847","394,385",2024-02-03 10:48:39
2024-01,2호선,0205,동대문역사문화공원(DDP),"396,373","448,457",2024-02-03 10:48:39
2024-01,2호선,0206,신당,"429,619","456,600",2024-02-03 10:48:39
2024-01,2호선,0207,상왕십리,"414,763","406,490",2024-02-03 10:48:39
2024-01,2호선,0208,왕십리(성동구청),"445,669","405,546",2024-02-03 10:48:39
2024-01,2호선,0209,한양대,"231,690","247,004",2024-02-03 10:48:39
2024-01,2호선,0210,뚝섬,"697,833","734,836",2024-02-03 10:48:39
2024-01,2호선,0211,성수,"1,196,207","1,293,838",2024-02-03 10:48:39
2024-01,2호선,0212,건대입구,"1,095,116","1,154,938",2024-02-03 10:48:39
2024-01,2호선,0213,구의(광진구청),"718,842","703,642",2024-02-03 10:48:39
2024-01,2호선,0214,강변(동서울터미널),"921,268","861,016",2024-02-03 10:48:39
2024-01,2호선,0215,잠실나루,"435,996","425,536",2024-02-03 10:48:39
2024-01,2호선,0216,잠실(송파구청),"2,298,863","2,260,606",2024-02-03 10:48:39
2024-01,2호선,0217,잠실새내,"683,048","680,304",2024-02-03 10:48:39
2024-01,2호선,0218,종합운동장,"237,594","256,191",2024-02-03 10:48:39
2024-01,2호선,0219,삼성(무역센터),"1,553,619","1,549,483",2024-02-03 10:48:39
2024-01,2호선,0220,선릉,"1,610,946","1,411,541",2024-02-03 10:48:39
2024-01,2호선,0221,역삼,"1,452,383","1,634,363",2024-02-03 10:48:39
2024-01,2호선,0222,강남,"2,423,144","2,335,555",2024-02-03 10:48:39
2024-01,2호선,0223,교대(법원.검찰청),"874,360","1,046,990",2024-02-03 10:48:39
2024-01,2호선,0224,서초,"627,724","605,634",2024-02-03 10:48:39
2024-01,2호선,0225,방배,"440,587","452,487",2024-02-03 10:48:39
2024-01,2호선,0226,사당,"1,185,846","1,272,028",2024-02-03 10:48:39
2024-01,2호선,0227,낙성대(강감찬),"793,358","772,874",2024-02-03 10:48:39
2024-01,2호선,0228,서울대입구(관악구청),"1,333,932","1,313,626",2024-02-03 10:48:39
2024-01,2호선,0229,봉천,"699,646","661,035",2024-02-03 10:48:39
2024-01,2호선,0230,신림,"1,594,615","1,537,190",2024-02-03 10:48:39
2024-01,2호선,0231,신대방,"736,910","715,962",2024-02-03 10:48:39
2024-01,2호선,0232,구로디지털단지,"1,664,531","1,646,489",2024-02-03 10:48:39
2024-01,2호선,0233,대림(구로구청),"707,784","723,465",2024-02-03 10:48:39
2024-01,2호선,0234,신도림,"1,464,384","1,435,803",2024-02-03 10:48:39
2024-01,2호선,0235,문래,"659,576","676,772",2024-02-03 10:48:39
2024-01,2호선,0236,영등포구청,"644,910","659,060",2024-02-03 10:48:39
2024-01,2호선,0237,당산,"505,476","581,247",2024-02-03 10:48:39
2024-01,2호선,0238,합정,"972,135","1,049,946",2024-02-03 10:48:39
2024-01,2호선,0239,홍대입구,"2,090,283","2,224,268",2024-02-03 10:48:39
2024-01,2호선,0240,신촌,"1,091,294","1,114,486",2024-02-03 10:48:39
2024-01,2호선,0241,이대,"415,540","450,768",2024-02-03 10:48:39
2024-01,2호선,0242,아현,"303,217","284,730",2024-02-03 10:48:39
2024-01,2호선,0243,충정로(경기대입구),"292,324","307,320",2024-02-03 10:48:39
2024-01,2호선,0244,용답,"81,502","80,645",2024-02-03 10:48:39
2024-01,2호선,0245,신답,"46,155","52,266",2024-02-03 10:48:39
2024-01,2호선,0246,신설동,"110,617","109,465",2024-02-03 10:48:39
2024-01,2호선,0247,도림천,"36,354","38,835",2024-02-03 10:48:39
2024-01,2호선,0248,양천구청,"195,474","206,147",2024-02-03 10:48:39
2024-01,2호선,0249,신정네거리,"298,502","309,565",2024-02-03 10:48:39
2024-01,2호선,0250,용두(동대문구청),"72,582","73,598",2024-02-03 10:48:39
2024-01,3호선,0309,지축,"203,295","200,395",2024-02-03 10:48:39
2024-01,3호선,0310,구파발,"619,983","601,571",2024-02-03 10:48:39
2024-01,3호선,0311,연신내,"995,840","958,044",2024-02-03 10:48:39
2024-01,3호선,0312,불광,"472,992","506,265",2024-02-03 10:48:39
2024-01,3호선,0313,녹번,"445,909","407,131",2024-02-03 10:48:39
2024-01,3호선,0314,홍제,"518,372","494,486",2024-02-03 10:48:39
2024-01,3호선,0315,무악재,"126,868","125,236",2024-02-03 10:48:39
2024-01,3호선,0316,독립문,"211,505","216,513",2024-02-03 10:48:39
2024-01,3호선,0317,경복궁(정부서울청사),"668,722","675,540",2024-02-03 10:48:39
2024-01,3호선,0318,안국,"710,148","733,840",2024-02-03 10:48:39
2024-01,3호선,0319,종로3가,"309,734","357,120",2024-02-03 10:48:39
2024-01,3호선,0320,을지로3가,"341,775","346,496",2024-02-03 10:48:39
2024-01,3호선,0321,충무로,55,0,2024-02-03 10:48:39
2024-01,3호선,0322,동대입구,"273,748","297,861",2024-02-03 10:48:39
2024-01,3호선,0323,약수,"373,038","362,305",2024-02-03 10:48:39
2024-01,3호선,0324,금호,"234,426","219,674",2024-02-03 10:48:39
2024-01,3호선,0325,옥수,"254,427","263,928",2024-02-03 10:48:39
2024-01,3호선,0326,압구정,"931,737","999,948",2024-02-03 10:48:39
2024-01,3호선,0327,신사,"835,348","865,672",2024-02-03 10:48:39
2024-01,3호선,0328,잠원,"141,816","135,706",2024-02-03 10:48:39
2024-01,3호선,0329,고속터미널,"1,424,184","1,339,840",2024-02-03 10:48:39
2024-01,3호선,0330,교대(법원.검찰청),"475,819","282,060",2024-02-03 10:48:39
2024-01,3호선,0331,남부터미널(예술의전당),"878,207","883,835",2024-02-03 10:48:39
2024-01,3호선,0332,양재(서초구청),"1,069,111","1,152,832",2024-02-03 10:48:39
2024-01,3호선,0333,매봉,"358,292","345,934",2024-02-03 10:48:39
2024-01,3호선,0334,도곡,"145,579","153,036",2024-02-03 10:48:39
2024-01,3호선,0335,대치,"382,224","367,925",2024-02-03 10:48:39
2024-01,3호선,0336,학여울,"63,331","64,233",2024-02-03 10:48:39
2024-01,3호선,0337,대청,"302,063","287,561",2024-02-03 10:48:39
2024-01,3호선,0338,일원,"316,139","307,881",2024-02-03 10:48:39
2024-01,3호선,0339,수서,"548,168","554,296",2024-02-03 10:48:39
2024-01,3호선,0340,가락시장,"267,191","262,115",2024-02-03 10:48:39
2024-01,3호선,0341,경찰병원,"218,182","219,208",2024-02-03 10:48:39
2024-01,3호선,0342,오금,"191,267","173,889",2024-02-03 10:48:39
2024-01,4호선,0409,당고개,"276,115","240,187",2024-02-03 10:48:39
2024-01,4호선,0410,상계,"556,858","514,779",2024-02-03 10:48:39
2024-01,4호선,0411,노원,"849,572","943,260",2024-02-03 10:48:39
2024-01,4호선,0412,창동,"774,699","809,856",2024-02-03 10:48:39
2024-01,4호선,0413,쌍문,"841,301","783,483",2024-02-03 10:48:39
2024-01,4호선,0414,수유(강북구청),"977,094","985,049",2024-02-03 10:48:39
2024-01,4호선,0415,미아(서울사이버대학),"433,428","420,750",2024-02-03 10:48:39
2024-01,4호선,0416,미아사거리,"775,743","767,432",2024-02-03 10:48:39
2024-01,4호선,0417,길음,"602,671","591,605",2024-02-03 10:48:39
2024-01,4호선,0418,성신여대입구(돈암),"592,599","578,231",2024-02-03 10:48:39
2024-01,4호선,0419,한성대입구(삼선교),"371,263","363,099",2024-02-03 10:48:39
