,0
0,<pad>
1,<unk>
2,사랑
3,마음
4,im
5,어도
6,어요
7,다시
8,like
9,생각
10,oh
11,love
12,처럼
13,know
14,버리
15,사람
16,어서
17,ㄹ까
18,baby
19,그대
20,오늘
21,나의
22,이제
23,못하
24,ㄴ다
25,모르
26,지금
27,기억
28,세상
29,내가
30,모든
31,너무
32,아도
33,행복
34,그리하
35,는데
36,말하
37,바람
38,순간
39,yeah
40,너와
41,아직
42,하루
43,wanna
44,want
45,어야
46,없이
47,go
48,uh
49,매일
50,cant
51,아요
52,만나
53,보이
54,그냥
55,la
56,time
57,기다리
58,잖아
59,아서
60,ㄹ래
61,say
62,one
63,그렇
64,아프
65,보다
66,beep
67,으면
68,night
69,got
70,bad
71,정말
72,눈물
73,ㄴ데
74,feel
75,을까
76,ㄹ게
77,가슴
78,이야
79,하늘
80,let
81,인생
82,get
83,그러
84,모습
85,이렇
86,내리
87,노래
88,ㄹ지
89,원하
90,바라보
91,heart
92,ill
93,해지
94,느끼
95,그리
96,아무
97,예쁘
98,every
99,추억
100,다고
101,사라지
102,니까
103,서로
104,괜찮
105,떠나
106,나요
107,가득
108,see
109,gonna
110,way
111,come
112,향기
113,힘들
114,빛나
115,가지
116,make
117,다면
118,run
119,never
120,여자
121,back
122,많이
123,woo
124,나르
125,멈추
126,어떻
127,day
128,항상
129,미안
130,girl
131,소리
132,사이
133,한번
134,ㄴ지
135,다가
136,머리
137,따르
138,내일
139,바라
140,나오
141,ㄴ다고
142,라고
143,기분
144,라도
145,멀리
146,떨어지
147,만들
148,지우
149,찾아오
150,달리
151,대로
152,star
153,구름
154,그립
155,지나가
156,좋아하
157,bae
158,smoothie
159,ㅂ니다
160,진짜
161,지나
162,자꾸
163,take
164,흐르
165,tell
166,보내
167,미치
168,위하
169,아름답
170,친구
171,면서
172,keep
173,부르
174,without
175,away
176,life
177,미소
178,변하
179,give
180,고서
181,이별
182,처음
183,떠나가
184,영원
185,good
186,거리
187,ㄴ다면
188,ㄹ라
189,마지막
190,cause
191,언제나
192,필요
193,이유
194,계속
195,need
196,still
197,채우
198,always
199,심장
200,think
201,play
202,는지
203,라면
204,돌아가
205,mind
206,사실
207,어리
208,기에
209,이름
210,그날
211,햇살
212,빠지
213,going
214,light
215,얘기
216,이미
217,향하
218,후회
219,ㄴ가
220,그런
221,자리
222,live
223,dance
224,얼굴
225,어제
226,끝나
227,stay
228,너르
229,오빠
230,잠들
231,돌아오
232,old
233,please
234,감정
235,그대로
236,세월
237,점점
238,right
239,안되
240,hey
241,으며
242,떨리
243,바보
244,ah
245,비추
246,나도
247,어쩌
248,지치
249,숨기
250,ㄹ게요
251,그것
252,웃음
253,lie
254,dream
255,밖에
256,살아가
257,high
258,anti
259,거나
260,영원히
261,으니
262,차갑
263,시작
264,가끔
265,해보
266,boogie
267,lets
268,약속
269,에는
270,goal
271,그만
272,rider
273,발걸음
274,마다
275,다가오
276,바래
277,wish
278,주세
279,벚꽃
280,rolling
281,네요
282,걱정
283,even
284,바다
285,스럽
286,전하
287,상처
288,반복
289,남기
290,바쁘
291,뜨겁
292,어떡하
293,사진
294,오오
295,babe
296,thats
297,break
298,전화
299,ya
300,의미
301,어둡
302,call
303,fly
304,하얗
305,eyes
306,꽃잎
307,보여주
308,아무것
309,could
310,find
311,은데
312,fall
313,stop
314,당기
315,feeling
316,피어나
317,black
318,이야기
319,수많
320,new
321,도록
322,계절
323,worry
324,교회
325,로또
326,이렇게
327,이루
328,아주
329,아래
330,어둠
331,stupid
332,touch
333,흔들
334,boy
335,절대
336,제일
337,음악
338,제발
339,거짓말
340,빨리
341,기로
342,오르
343,설레
344,어느새
345,어깨
346,슬프
347,world
348,헤어지
349,불어오
350,care
351,흘러가
352,shine
353,을래
354,ㄴ다는
355,때문
356,안녕
357,천천히
358,소중
359,라는
360,fire
361,맞추
362,아픔
363,broken
364,가장
365,가요
366,이리
367,느낌
368,아무렇
369,따스
370,아침
371,따뜻
372,기대
373,달콤
374,눈빛
375,민수
376,deep
377,취하
378,put
379,여도
380,현실
381,에요
382,지키
383,외치
384,몰르
385,ooh
386,blue
387,무너지
388,마시
389,가보
390,미련
391,antihero
392,hero
393,잊히
394,rode
395,세요
396,aint
397,멋지
398,붙잡
399,okay
400,어렵
401,그리움
402,ive
403,라서
404,려고
405,반짝이
406,goin
407,걸음
408,game
409,level
410,story
411,찬란
412,wassup
413,cuz
414,고맙
415,rappahohik
416,일상
417,고백
418,dreams
419,떠올리
420,far
421,익숙
422,너무나
423,번지
424,다는
425,hold
426,종일
427,smile
428,용기
429,흐리
430,가리
431,better
432,다르
433,bang
434,남자
435,고민
436,lost
437,die
438,everything
439,돌리
440,새롭
441,슬픔
442,지내
443,이러
444,alone
445,show
446,super
447,안기
448,듯이
449,그녀
450,시선
451,really
452,쌓이
453,피우
454,나누
455,흩어지
456,어지럽
457,외롭
458,together
459,나라
460,겨울
461,준비
462,said
463,자고
464,필요없
465,ride
466,들어오
467,look
468,mine
469,well
470,달려가
471,hope
472,표정
473,펑펑
474,side
475,머릿속
476,나쁘
477,ready
478,엄마
479,shit
480,도망가
481,먼저
482,가만히
483,days
484,gone
485,비우
486,시원
487,waiting
488,ok
489,터지
490,던지
491,yuh
492,뭐하
493,불르
494,새벽
495,견디
496,em
497,tonight
498,위험
499,어색
500,아름
501,대이
502,ra
503,힘센
504,stand
505,감추
506,가사
507,들리
508,무디
509,떠오르
510,공기
511,상상
512,희망
513,자유
514,만이
515,damage
516,파도
517,believe
518,가도
519,두렵
520,아냐
521,happy
522,little
523,leave
524,춤추
525,behavior
526,꿈꾸
527,ㄹ수록
528,꺼지
529,pull
530,있었
531,더라
532,skoot
533,two
534,이대로
535,블루스
536,head
537,그림자
538,지네
539,흘리
540,한테
541,듯하
542,city
543,fast
544,한국
545,miss
546,listen
547,머물
548,위로
549,face
550,정말로
551,나랑
552,펼쳐지
553,느껴지
554,봄날
555,한잔
556,빠져들
557,환하
558,물들
559,그곳
560,잘나
561,shining
562,feels
563,pop
564,세계
565,새기
566,일어나
567,matter
568,huh
569,서울
570,nothin
571,hard
572,더하
573,stars
574,데리
575,가볍
576,구나
577,이란
578,done
579,나비
580,자꾸만
581,우연히
582,everybody
583,freaky
584,ta
585,yes
586,sheesh
587,dari
588,군산
589,속삭이
590,마주치
591,대하
592,바꾸
593,목소리
594,적시
595,sky
596,name
597,watch
598,도망치
599,real
600,아마
601,하다
602,진심
603,똑같
604,hate
605,태양
606,나무
607,close
608,coming
609,돌아보
610,조금씩
611,butterfly
612,잎새
613,미래
614,잘하
615,선명
616,으니까
617,날씨
618,간직
619,마이크
620,운명
621,공간
622,머무르
623,맡기
624,커지
625,무겁
626,turn
627,hoo
628,깨우
629,피해
630,가득히
631,us
632,alright
633,흔들리
634,노을
635,midnight
636,택배
637,rain
638,멀리서
639,till
640,마법
641,달라지
642,따라가
643,불빛
644,부족
645,tight
646,fight
647,자연스레
648,날아가
649,cannot
650,나가
651,end
652,귀엽
653,hear
654,존재
655,문득
656,달빛
657,ha
658,무섭
659,아무리
660,소리치
661,another
662,끝내
663,영화
664,한참
665,birthday
666,마음속
667,already
668,tip
669,dive
670,비밀
671,money
672,벌써
673,먼지
674,배우
675,태어나
676,들어가
677,bye
678,bout
679,홀로
680,bitch
681,바뀌
682,근데
683,선물
684,더욱
685,온기
686,표현
687,repotory
688,closely
689,귀기울이
690,자가
691,소리지르
692,홀리
693,nothing
694,이기
695,try
696,knows
697,모이
698,흘르
699,넘기
700,가기
701,wait
702,울리
703,웅위
704,떠오
705,beautiful
706,bring
707,이끌리
708,사랑이
709,맴돌
710,closer
711,환상
712,쓰라리
