,0
0,<pad>
1,<unk>
2,life
3,new
4,world
5,young
6,family
7,man
8,find
9,old
10,love
11,time
12,help
13,friends
14,years
15,woman
16,finds
17,school
18,home
19,year
20,father
21,story
22,mysterious
23,war
24,soon
25,girl
26,save
27,group
28,nt
29,lives
30,way
31,wife
32,high
33,town
34,city
35,son
36,day
37,daughter
38,mother
39,friend
40,takes
41,team
42,secret
43,death
44,begins
45,people
46,set
47,discovers
48,boy
49,meets
50,named
51,past
52,fight
53,evil
54,goes
55,house
56,best
57,stop
58,earth
59,order
60,small
61,true
62,night
63,gets
64,mission
65,forced
66,american
67,battle
68,police
69,journey
70,discover
71,brother
72,men
73,agent
74,living
75,work
76,film
77,face
78,long
79,dangerous
80,forces
81,murder
82,comes
83,gang
84,power
85,york
86,live
87,husband
88,future
89,end
90,falls
91,couple
92,escape
93,beautiful
94,come
95,human
96,island
97,relationship
98,game
99,killer
100,turns
101,left
102,job
103,little
104,sister
105,crime
106,turn
107,king
108,tries
109,decides
110,parents
111,adventure
112,away
113,ex
114,like
115,known
116,prison
117,returns
118,leads
119,deadly
120,powerful
121,real
122,crew
123,sets
124,things
125,wants
126,force
127,events
128,series
129,dead
130,children
131,revenge
132,run
133,big
134,detective
135,place
136,return
137,search
138,women
139,lost
140,race
141,country
142,rescue
143,dark
144,drug
145,army
146,local
147,trying
148,try
149,student
150,girlfriend
151,plan
152,called
153,planet
154,trip
155,learns
156,makes
157,child
158,john
159,starts
160,protect
161,determined
162,dreams
163,money
164,good
165,land
166,college
167,chance
168,village
169,meet
170,case
171,great
172,sent
173,days
174,government
175,survive
176,learn
177,car
178,criminal
179,band
180,attempt
181,start
182,control
183,heart
184,bring
185,quest
186,legendary
187,begin
188,decide
189,business
190,ancient
191,taken
192,plans
193,christmas
194,unexpected
195,head
196,star
197,strange
198,desperate
199,century
200,kill
201,black
202,law
203,history
204,having
205,teenage
206,killed
207,later
208,truth
209,cop
210,turned
211,officer
212,married
213,friendship
214,alien
215,childhood
216,based
217,sex
218,special
219,use
220,dr
221,jack
222,accident
223,suddenly
224,dream
225,lead
226,action
227,different
228,partner
229,london
230,powers
231,girls
232,working
233,boss
234,change
235,magical
236,company
237,accidentally
238,fate
239,follows
240,finally
241,late
242,master
243,far
244,arrives
245,hope
246,following
247,wealthy
248,movie
249,middle
250,remote
251,leader
252,career
253,found
254,monster
255,female
256,including
257,attack
258,princess
259,ship
260,mystery
261,know
262,party
263,summer
264,trapped
265,plot
266,captain
267,murdered
268,missing
269,quickly
270,leave
271,inside
272,destroy
273,bond
274,brothers
275,fighting
276,space
277,kids
278,queen
279,join
280,boyfriend
281,fall
282,south
283,self
284,free
285,led
286,military
287,secrets
288,moves
289,enemy
290,ruthless
291,road
292,form
293,marriage
294,survival
295,teacher
296,perfect
297,leaves
298,right
299,taking
300,kidnapped
301,deep
302,investigate
303,hit
304,making
305,going
306,violent
307,america
308,los
309,angeles
310,personal
311,uncover
312,famous
313,students
314,win
315,epic
316,travel
317,unlikely
318,killing
319,caught
320,affair
321,looking
322,works
323,stay
324,tale
325,justice
326,fbi
327,book
328,threatens
329,sexual
330,french
331,white
332,reality
333,owner
334,paris
335,body
336,sinister
337,encounter
338,assassin
339,hero
340,despite
341,british
342,class
343,humans
344,magic
345,hard
346,struggles
347,romance
348,deal
349,travels
350,prove
351,music
352,tells
353,ends
354,threat
355,hidden
356,forever
357,break
358,james
359,prince
360,wild
361,involved
362,embark
363,hired
364,single
365,older
366,joins
367,brutal
368,dog
369,fellow
370,play
371,realizes
372,getting
373,humanity
374,wrong
375,seeks
376,teenager
377,japanese
378,terrifying
379,ii
380,final
381,ultimate
382,want
383,mr
384,peace
385,international
386,spirit
387,art
388,ago
389,tom
390,artist
391,eventually
392,look
393,martial
394,struggle
395,embarks
396,course
397,wedding
398,lord
399,hands
400,danger
401,sea
402,track
403,younger
404,attempts
405,baby
406,teen
407,pair
408,person
409,elite
410,cat
411,second
412,near
413,super
414,faces
415,soldiers
416,peter
417,rich
418,gold
419,cia
420,rest
421,skills
422,leaving
423,doctor
424,seek
425,guy
426,lover
427,street
428,russian
429,david
430,frank
431,hunt
432,rise
433,serial
434,successful
435,brings
436,stolen
437,universe
438,train
439,encounters
440,figure
441,camp
442,soldier
443,seemingly
444,sees
445,leading
446,rival
447,scientist
448,runs
449,blood
450,members
451,able
452,supernatural
453,half
454,bad
455,apartment
456,needs
457,confront
458,test
459,creature
460,security
461,heroes
462,france
463,rock
464,hospital
465,cross
466,teams
467,corrupt
468,entire
469,streets
470,arts
471,uses
472,visit
473,warrior
474,knows
475,bank
476,japan
477,means
478,hotel
479,struggling
480,state
481,seven
482,alive
483,conspiracy
484,hopes
485,community
486,society
487,harry
488,crash
489,target
490,changes
491,social
492,prevent
493,born
494,age
495,creatures
496,chaos
497,kingdom
498,god
499,abandoned
500,experience
501,vampire
502,finding
503,path
504,existence
505,england
506,private
507,discovery
508,united
509,steal
510,puts
511,holiday
512,west
513,grows
514,identity
515,adventures
516,beloved
517,vacation
518,english
519,desert
520,line
521,destruction
522,giant
523,tragic
524,north
525,instead
526,ways
527,popular
528,veteran
529,hunter
530,eve
531,chinese
532,alex
533,romantic
534,undercover
535,investigation
536,paul
537,dragon
538,monsters
539,pilot
540,organization
541,states
542,professor
543,uncle
544,boys
545,criminals
546,solve
547,forest
548,max
549,believes
550,dies
551,ll
552,greatest
553,characters
554,lawyer
555,building
556,ben
557,coming
558,member
559,modern
560,door
561,close
562,park
563,realize
564,writer
565,treasure
566,unknown
567,german
568,stand
569,thing
570,cold
571,nick
572,mind
573,murders
574,gone
575,create
576,assigned
577,hot
578,system
579,castle
580,thief
581,michael
582,heist
583,royal
584,ultimately
585,driver
586,memories
587,suspect
588,fighter
589,china
590,president
591,trouble
592,freedom
593,lands
594,soul
595,escapes
596,given
597,appears
598,demon
599,terrorist
600,capture
601,stories
602,nightmare
603,falling
604,thought
605,major
606,general
607,heads
608,latest
609,mouse
610,defeat
611,notorious
612,operation
613,station
614,apart
615,green
616,champion
617,clear
618,obsessed
619,video
620,believe
621,follow
622,air
623,estranged
624,brought
625,consequences
626,haunted
627,red
628,care
629,kid
630,charlie
631,fun
632,opportunity
633,sisters
634,fights
635,california
636,global
637,running
638,killers
639,unexpectedly
640,classic
641,stranger
642,tragedy
643,sends
644,mom
645,troubled
646,training
647,room
648,sam
649,hollywood
650,met
651,enter
652,kong
653,happens
654,pay
655,impossible
656,defend
657,nazi
658,san
659,match
660,nuclear
661,agrees
662,problem
663,need
664,club
665,eye
666,innocent
667,storm
668,hong
669,reunite
670,sheriff
671,service
672,receives
673,trail
674,underground
675,journalist
676,robot
677,ghost
678,drawn
679,george
680,growing
681,hell
682,fear
683,hiding
684,fire
685,ring
686,vengeance
687,water
688,12
689,survivors
690,complete
691,disaster
692,key
693,torn
694,squad
695,stranded
696,upside
697,thinks
698,brilliant
699,virus
700,spy
701,situation
702,con
703,mob
704,professional
705,weapon
706,problems
707,seen
708,outside
709,jin
710,lies
711,la
712,thieves
713,hometown
714,farm
715,reporter
716,legend
717,question
718,lonely
719,vicious
720,complicated
721,breaks
722,armed
723,warriors
724,raised
725,mike
726,happy
727,fairy
728,victim
729,hand
730,ordinary
731,newly
732,moon
733,dying
734,extraordinary
735,risk
736,store
737,losing
738,better
739,pregnant
740,traveling
741,quiet
742,nature
743,civil
744,mansion
745,million
746,short
747,safe
748,hostage
749,event
750,seeking
751,worker
752,lady
753,bloody
754,horror
755,turning
756,witness
757,meeting
758,chief
759,dad
760,10
761,football
762,terror
763,agents
764,retired
765,original
766,loves
767,gives
768,recently
769,responsible
770,early
771,befriends
772,cover
